#b, jan li, 16392
#b, e ni, 16208
#b, ona li, 16202
#b, ni li, 11889
#b, li pona, 8901
#b, li kama, 8450
#b, la mi, 8444
#b, jo e, 7479
#b, li lon, 7451
#b, toki e, 7206
#b, li toki, 6689
#b, ala e, 6459
#b, tawa mi, 6235
#b, pana e, 6043
#b, sona e, 6029
#b, mute li, 5705
#b, mi wile, 5702
#b, ni la, 5505
#b, toki pona, 5288
#b, li wile, 5161
#b, li ken, 4862
#b, la jan, 4824
#b, pona tawa, 4739
#b, lukin e, 4731
#b, pali e, 4589
#b, pi jan, 4324
#b, e toki, 4235
#b, li jo, 4150
#b, li tawa, 3893
#b, mi li, 3884
#b, tan ni, 3846
#b, tawa jan, 3779
#b, ken ala, 3731
#b, la sina, 3726
#b, e ona, 3550
#b, e jan, 3550
#b, la ona, 3549
#b, mi pilin, 3499
#b, mi mute, 3491
#b, pilin e, 3452
#b, lon tenpo, 3292
#b, tenpo suno, 3290
#b, li pana, 3249
#b, lon ma, 3234
#b, wile e, 3188
#b, e ijo, 3187
#b, ni mi, 3118
#b, a a, 3109
#b, jan pi, 3030
#b, kama sona, 2957
#b, li pali, 2908
#b, ni jan, 2885
#b, anu seme, 2750
#b, tawa sina, 2704
#b, tenpo ni, 2703
#b, mi sona, 2694
#b, li pilin, 2673
#b, sona ala, 2616
#b, mi ken, 2605
#b, pona mute, 2566
#b, li ike, 2560
#b, sina wile, 2499
#b, e nimi, 2420
#b, sina li, 2345
#b, ma tomo, 2333
#b, ni ona, 2303
#b, pi ma, 2295
#b, wile ala, 2279
#b, pini la, 2277
#b, tenpo pini, 2222
#b, jan lili, 2210
#b, kama jo, 2166
#b, li jan, 2161
#b, pi toki, 2133
#b, li sona, 2105
#b, mi kama, 2081
#b, mi toki, 2052
#b, li lukin, 2007
#b, sina ken, 1955
#b, moku e, 1909
#b, lili li, 1904
#b, seme la, 1883
#b, lon tomo, 1879
#b, tomo tawa, 1836
#b, sewi li, 1836
#b, mi tawa, 1802
#b, e lipu, 1799
#b, ni sina, 1779
#b, ni tawa, 1776
#b, ken la, 1755
#b, tawa ona, 1741
#b, e telo, 1721
#b, ala li, 1679
#b, jan pona, 1674
#b, pona li, 1672
#b, tan seme, 1671
#b, pilin ike, 1652
#b, pona e, 1637
#b, e mi, 1631
#b, ma li, 1619
#b, mi lukin, 1574
#b, pi tenpo, 1571
#b, li sama, 1571
#b, li suli, 1570
#b, jan lawa, 1563
#b, taso mi, 1559
#b, kepeken toki, 1558
#b, o toki, 1543
#b, lon ni, 1535
#b, seme li, 1519
#b, kama lon, 1494
#b, jan sewi, 1485
#b, ale li, 1485
#b, pilin pona, 1474
#b, toki tawa, 1462
#b, e ilo, 1462
#b, e sitelen, 1461
#b, weka e, 1460
#b, la o, 1452
#b, mute tawa, 1437
#b, lon ala, 1434
#b, jo ala, 1422
#b, toki pi, 1393
#b, e pona, 1386
#b, e tomo, 1357
#b, pona ala, 1349
#b, mi lon, 1342
#b, la ni, 1336
#b, kama la, 1332
#b, kepeken e, 1329
#b, e mani, 1311
#b, li awen, 1310
#b, ike tawa, 1309
#b, jan mute, 1302
#b, tawa ma, 1291
#b, mi jan, 1278
#b, suli li, 1254
#b, li moku, 1254
#b, mi jo, 1249
#b, e seme, 1242
#b, e sina, 1237
#b, toki li, 1228
#b, li kepeken, 1227
#b, tenpo kama, 1226
#b, mute la, 1222
#b, jan ante, 1222
#b, ala tawa, 1218
#b, li pakala, 1199
#b, tu li, 1197
#b, kalama musi, 1192
#b, wile toki, 1186
#b, e sona, 1178
#b, luka luka, 1171
#b, ali li, 1150
#b, tawa lon, 1143
#b, mi pali, 1137
#b, pona mi, 1136
#b, jan o, 1122
#b, mi la, 1116
#b, lon poka, 1114
#b, lili la, 1105
#b, sina sona, 1098
#b, li weka, 1094
#b, ala la, 1087
#b, sina kama, 1086
#b, sitelen e, 1083
#b, toki ala, 1080
#b, en jan, 1080
#b, pi pona, 1079
#b, li moli, 1078
#b, wile sona, 1072
#b, tomo pi, 1072
#b, pi tomo, 1069
#b, nanpa wan, 1059
#b, tawa tomo, 1033
#b, sina toki, 1025
