#b, tawa mi, 3345
#b, mi wile, 2652
#b, pona tawa, 2341
#b, mi mute, 2035
#b, ni mi, 1968
#b, tawa jan, 1936
#b, toki ni, 1872
#b, tenpo suno, 1708
#b, sona ni, 1705
#b, ni ona, 1650
#b, ni jan, 1619
#b, tawa sina, 1566
#b, mi ken, 1540
#b, sina wile, 1490
#b, tomo tawa, 1470
#b, mi pilin, 1346
#b, mi kama, 1300
#b, jan toki, 1269
#b, ma tomo, 1262
#b, kama jo, 1262
#b, pali ni, 1233
#b, tenpo pini, 1214
#b, tawa ona, 1213
#b, ni tawa, 1196
#b, tan ni, 1172
#b, kama sona, 1148
#b, ni sina, 1142
#b, ni pona, 1127
#b, pona mute, 1116
#b, jan lili, 1100
#b, jan wile, 1080
#b, pilin ni, 1063
#b, sina ken, 1055
#b, mi sona, 1030
#b, jan pona, 1008
#b, tenpo ni, 1003
#b, jan kama, 1001
#b, ona kama, 972
#b, jan ken, 972
#b, mute tawa, 963
#b, toki tawa, 932
#b, mi toki, 900
#b, mi tawa, 853
#b, sina kama, 828
#b, jan pali, 793
#b, mi lukin, 760
#b, ike tawa, 753
#b, jan sona, 722
#b, wile ni, 721
#b, mi jo, 700
#b, ona wile, 696
#b, jan tawa, 692
#b, pana pona, 678
#b, ona tawa, 672
#b, tawa ma, 669
#b, pilin ike, 657
#b, jan pana, 654
#b, kepeken ilo, 646
#b, tenpo kama, 639
#b, sona toki, 639
#b, tawa tomo, 631
#b, wile sona, 630
#b, jan lawa, 628
#b, sina sona, 618
#b, ni tenpo, 616
#b, mi jan, 612
#b, ona toki, 605
#b, ken ken, 604
#b, tawa ni, 598
#b, pilin pona, 596
#b, ken kama, 593
#b, mi pana, 574
#b, tenpo suli, 568
#b, mi pali, 566
#b, sina toki, 553
#b, kalama musi, 550
#b, tenpo pimeja, 547
#b, ken toki, 547
#b, jan jo, 544
#b, en jan, 544
#b, sina pilin, 543
#b, wile pali, 536
#b, ona ken, 536
#b, jan pilin, 530
#b, tenpo lili, 529
#b, jan en, 528
#b, wile kama, 526
#b, tenpo ale, 521
#b, jan jan, 516
#b, jan ante, 506
#b, tenpo mute, 500
#b, suno ni, 499
#b, kepeken toki, 497
#b, pona lukin, 495
#b, toki toki, 489
#b, soweli tomo, 484
#b, wile toki, 478
#b, tan sina, 477
#b, sina tawa, 475
#b, ken pali, 474
#b, mi mi, 473
#b, jan ni, 470
#b, moku telo, 468
#b, tawa weka, 452
#b, ona mute, 452
#b, telo nasa, 448
#b, toki pona, 445
#b, wile tawa, 442
#b, sina jo, 439
#b, ona jan, 439
#b, mani mute, 439
#b, tawa lukin, 435
#b, ken lukin, 430
#b, tomo mi, 428
#b, jan ale, 428
#b, kama tan, 426
#b, pini mi, 425
#b, ni kama, 425
#b, jan mute, 424
#b, pana sona, 423
#b, kama tawa, 423
#b, ni anu, 422
#b, jan lukin, 422
#b, ilo toki, 421
#b, sina pali, 419
#b, ken tawa, 416
#b, sina lukin, 409
#b, sitelen tawa, 404
#b, tu wan, 397
#b, jo mani, 391
#b, ona jo, 387
#b, lukin ni, 387
#b, sike suno, 383
#b, ni ike, 380
#b, ona sama, 378
#b, sama mi, 377
#b, ike mute, 377
#b, tan ma, 376
#b, suno kama, 374
#b, mi awen, 373
#b, lukin ona, 370
#b, wile moku, 368
#b, lukin jan, 368
#b, tomo sona, 365
#b, sina pana, 363
#b, ni ni, 363
#b, tawa wawa, 362
#b, tawa telo, 359
#b, ken pana, 357
#b, ona pana, 353
#b, mute wile, 352
#b, ona pona, 351
#b, taso mi, 350
#b, taso ona, 346
#b, ona pilin, 345
#b, suli mute, 342
#b, sina jan, 341
#b, wile wile, 339
#b, ona pali, 338
#b, sina mute, 337
#b, lawa ma, 326
#b, tomo ni, 324
#b, pilin mi, 324
#b, sona sona, 323
#b, toki ijo, 322
