54	weka	2099,000000	0,003962	0,868347	-0,314245	0,003807	0,004546	0,005404	0,801443						
55	wan	2076,000000	0,003918	0,872265	-0,317570	0,003738	0,004505	0,005356	0,806799						
56	soweli	2027,000000	0,003826	0,876091	-0,324653	0,003672	0,004418	0,005252	0,812051						
57	tu	1992,000000	0,003760	0,879850	-0,329713	0,003608	0,004355	0,005177	0,817228						
58	ante	1933,000000	0,003648	0,883499	-0,338242	0,003546	0,004249	0,005051	0,822279						
59	mani	1828,000000	0,003450	0,886949	-0,353420	0,003487	0,004058	0,004824	0,827104						
60	lipu	1810,000000	0,003416	0,890365	-0,356022	0,003429	0,004025	0,004785	0,831889						
61	mije	1795,000000	0,003388	0,893753	-0,358191	0,003373	0,003997	0,004752	0,836641						
62	nasa	1728,000000	0,003261	0,897014	-0,367876	0,003319	0,003874	0,004606	0,841247						
63	mama	1711,000000	0,003229	0,900244	-0,370334	0,003267	0,003842	0,004568	0,845815						
64	pakala	1684,000000	0,003178	0,903422	-0,374237	0,003216	0,003792	0,004509	0,850323						
65	poka	1670,000000	0,003152	0,906574	-0,376260	0,003167	0,003766	0,004478	0,854801						
66	sike	1649,000000	0,003112	0,909686	-0,379296	0,003120	0,003727	0,004431	0,859232						
67	kon	1615,000000	0,003048	0,912734	-0,384211	0,003073	0,003663	0,004355	0,863587						
68	kin	1578,000000	0,002978	0,915713	-0,389560	0,003029	0,003594	0,004272	0,867859						
69	luka	1530,000000	0,002888	0,918600	-0,396499	0,002985	0,003503	0,004165	0,872024						
70	en	1461,000000	0,002757	0,921358	-0,406473	0,002943	0,003371	0,004008	0,876032						
71	nimi	1441,000000	0,002720	0,924078	-0,409364	0,002902	0,003333	0,003962	0,879994						
72	len	1420,000000	0,002680	0,926758	-0,412400	0,002862	0,003293	0,003914	0,883909						
73	open	1354,000000	0,002556	0,929313	-0,421941	0,002823	0,003165	0,003762	0,887671						
74	kalama	1315,000000	0,002482	0,931795	-0,427579	0,002785	0,003089	0,003672	0,891343						
75	lape	1306,000000	0,002465	0,934260	-0,428880	0,002748	0,003071	0,003651	0,894994						
76	nanpa	1271,000000	0,002399	0,936659	-0,433939	0,002712	0,003002	0,003569	0,898564						
77	utala	1231,000000	0,002323	0,938982	-0,439722	0,002677	0,002923	0,003475	0,902039						
78	olin	1221,000000	0,002305	0,941287	-0,441167	0,002643	0,002903	0,003452	0,905491						
79	kulupu	1218,000000	0,002299	0,943586	-0,441601	0,002610	0,002897	0,003445	0,908935						
80	kasi	1216,000000	0,002295	0,945881	-0,441890	0,002577	0,002893	0,003440	0,912375						
81	seli	1205,000000	0,002274	0,948155	-0,443480	0,002546	0,002872	0,003414	0,915789						
82	moli	1183,000000	0,002233	0,950388	-0,446660	0,002515	0,002828	0,003362	0,919151						
83	linja	1129,000000	0,002131	0,952519	-0,454466	0,002485	0,002719	0,003233	0,922383						
84	sijelo	1107,000000	0,002089	0,954608	-0,457647	0,002455	0,002675	0,003180	0,925563						
85	insa	1103,000000	0,002082	0,956690	-0,458225	0,002426	0,002667	0,003170	0,928734						
86	esun	1085,000000	0,002048	0,958738	-0,460827	0,002398	0,002630	0,003127	0,931861						
87	a	1066,000000	0,002012	0,960750	-0,463574	0,002371	0,002591	0,003081	0,934941						
88	pimeja	1052,000000	0,001986	0,962735	-0,465597	0,002344	0,002563	0,003047	0,937988						
89	anpa	1027,000000	0,001938	0,964674	-0,469211	0,002318	0,002512	0,002986	0,940974						
90	poki	1002,000000	0,001891	0,966565	-0,472825	0,002292	0,002460	0,002925	0,943899						
91	kute	990,000000	0,001869	0,968433	-0,474560	0,002267	0,002435	0,002895	0,946794						
92	supa	966,000000	0,001823	0,970257	-0,478029	0,002243	0,002386	0,002836	0,949630						
93	suwi	895,000000	0,001689	0,971946	-0,488293	0,002219	0,002237	0,002660	0,952290						
94	ali	882,000000	0,001665	0,973610	-0,490172	0,002195	0,002210	0,002627	0,954917						
95	noka	851,000000	0,001606	0,975217	-0,494654	0,002172	0,002144	0,002549	0,957466						
96	uta	755,000000	0,001425	0,976642	-0,508531	0,002150	0,001937	0,002303	0,959769						
97	kiwen	729,000000	0,001376	0,978018	-0,512290	0,002128	0,001881	0,002236	0,962005						
98	lete	714,000000	0,001348	0,979365	-0,514458	0,002106	0,001848	0,002197	0,964201						
99	sinpin	669,000000	0,001263	0,980628	-0,520963	0,002085	0,001748	0,002079	0,966280						
100	kili	632,000000	0,001193	0,981821	-0,526312	0,002064	0,001666	0,001980	0,968260						
101	lupa	626,000000	0,001182	0,983002	-0,527179	0,002044	0,001652	0,001964	0,970225						
102	akesi	623,000000	0,001176	0,984178	-0,527613	0,002024	0,001646	0,001956	0,972181						
103	kule	575,000000	0,001085	0,985263	-0,534552	0,002004	0,001537	0,001827	0,974008						
104	jaki	565,000000	0,001066	0,986330	-0,535997	0,001985	0,001514	0,001800	0,975808						
105	waso	563,000000	0,001063	0,987392	-0,536286	0,001966	0,001509	0,001794	0,977602						
106	ko	543,000000	0,001025	0,988417	-0,539178	0,001948	0,001463	0,001740	0,979342						
107	pan	533,000000	0,001006	0,989423	-0,540623	0,001930	0,001440	0,001712	0,981055						
108	loje	497,000000	0,000938	0,990361	-0,545827	0,001912	0,001357	0,001613	0,982668						
109	mun	484,000000	0,000913	0,991275	-0,547706	0,001895	0,001326	0,001577	0,984244						
110	walo	475,000000	0,000897	0,992171	-0,549007	0,001877	0,001305	0,001552	0,985796						
111	nena	447,000000	0,000844	0,993015	-0,553055	0,001861	0,001239	0,001473	0,987269						
112	monsi	445,000000	0,000840	0,993855	-0,553344	0,001844	0,001234	0,001467	0,988736						
113	alasa	425,000000	0,000802	0,994657	-0,556235	0,001828	0,001186	0,001410	0,990146						
114	palisa	415,000000	0,000783	0,995440	-0,557681	0,001812	0,001162	0,001382	0,991528						
115	pipi	410,000000	0,000774	0,996214	-0,558404	0,001796	0,001150	0,001367	0,992895						
116	selo	391,000000	0,000738	0,996952	-0,561150	0,001781	0,001104	0,001313	0,994207						
117	jelo	336,000000	0,000634	0,997586	-0,569101	0,001766	0,000969	0,001152	0,995359						
118	laso	334,000000	0,000630	0,998216	-0,569390	0,001751	0,000964	0,001146	0,996505						
119	kala	290,000000	0,000547	0,998764	-0,575751	0,001736	0,000853	0,001014	0,997519						
120	mu	208,000000	0,000393	0,999156	-0,587605	0,001722	0,000639	0,000759	0,998278						
121	unpa	194,000000	0,000366	0,999522	-0,589628	0,001707	0,000601	0,000715	0,998993						
122	oko	148,000000	0,000279	0,999802	-0,596278	0,001694	0,000474	0,000564	0,999556						
123	namako	80,000000	0,000151	0,999953	-0,606108	0,001680	0,000276	0,000328	0,999884						
124	pu	25,000000	0,000047	1,000000	-0,614059	0,001666	0,000098	0,000116	1,000000						
