#b, jan li, 10759
#b, ona li, 8663
#b, e ni, 7669
#b, ni li, 5061
#b, li kama, 4845
#b, jo e, 3821
#b, la mi, 3611
#b, li pona, 3534
#b, li lon, 3486
#b, ala e, 3471
#b, pana e, 3348
#b, tawa mi, 3282
#b, li wile, 2747
#b, mute li, 2667
#b, sona e, 2630
#b, mi wile, 2584
#b, toki e, 2555
#b, li toki, 2490
#b, la jan, 2490
#b, li ken, 2474
#b, anu seme, 2289
#b, lukin e, 2281
#b, pali e, 2268
#b, ken ala, 2243
#b, lon tenpo, 2239
#b, la sina, 2152
#b, pona tawa, 2133
#b, pi jan, 2107
#b, ni la, 2042
#b, mi mute, 2025
#b, la ona, 1976
#b, e ona, 1936
#b, li jo, 1882
#b, li tawa, 1867
#b, tawa jan, 1852
#b, li pana, 1729
#b, tenpo suno, 1695
#b, seme la, 1689
#b, mi li, 1687
#b, e ijo, 1582
#b, wile e, 1530
#b, e jan, 1529
#b, tawa sina, 1525
#b, mi ken, 1489
#b, sina wile, 1462
#b, tomo tawa, 1449
#b, wile ala, 1392
#b, li pali, 1371
#b, ni ona, 1368
#b, lon ma, 1334
#b, ni mi, 1317
#b, li pilin, 1294
#b, mi pilin, 1266
#b, jan pi, 1253
#b, lon tomo, 1234
#b, kama jo, 1227
#b, ma tomo, 1197
#b, tenpo pini, 1196
#b, pilin e, 1192
#b, li jan, 1187
#b, tan seme, 1183
#b, tawa ona, 1170
#b, sona ala, 1154
#b, ni jan, 1153
#b, pini la, 1149
#b, tan ni, 1143
#b, lon ni, 1106
#b, kama sona, 1106
#b, li ike, 1103
#b, mi kama, 1093
#b, seme li, 1075
#b, ni tawa, 1070
#b, pona mute, 1058
#b, kama lon, 1058
#b, jan lili, 1057
#b, li sona, 1054
#b, moku e, 1039
#b, e toki, 1029
#b, sina ken, 1028
#b, sina li, 1023
#b, e telo, 1002
#b, mi sona, 990
#b, tenpo ni, 984
#b, li lukin, 970
#b, e ilo, 968
#b, e lipu, 936
#b, pi tenpo, 929
#b, la ni, 922
#b, pi ma, 903
#b, la o, 902
#b, e pona, 889
#b, e mani, 868
#b, e tomo, 850
#b, ni sina, 839
#b, ale li, 830
#b, e mi, 799
#b, ala tawa, 798
#b, li awen, 792
#b, e seme, 782
#b, ala li, 782
#b, li suli, 778
#b, mi toki, 769
#b, tawa lon, 765
#b, lon poka, 764
#b, mi tawa, 748
#b, pi pona, 746
#b, toki tawa, 742
#b, lili li, 742
#b, weka e, 730
#b, mi lukin, 729
#b, pi mute, 720
#b, jan seme, 715
#b, lon ala, 711
#b, ala la, 710
#b, mi la, 709
#b, o toki, 706
#b, jo ala, 700
#b, mute tawa, 698
#b, ike tawa, 697
#b, sina kama, 696
#b, e sina, 683
